Well;Date_;Pump_Type;Rig_Type;Work_Done;Notes
X-9386;17.05.1979;SRP;RP;Work#2;
X-1878;20.05.1979;PCP;RP;Work#1;
X-6772;27.05.1979;PCP;ID;Work#6;
X-4328;16.05.1979;SRP;RP;Work#9;
X-6420;18.05.1979;PCP;ID;Work#8;
X-4196;3.06.1979;PCP;ID;Work#3;
X-5227;15.05.1979;SRP;GD;Work#3;
X-955;16.05.1979;SRP;RP;Work#2;
X-3394;15.05.1979;SRP;RP;Work#9;
X-6772;15.05.1979;PCP;RP;Work#9;
X-3202;16.05.1979;SRP;RP;Work#3;
X-5751;15.05.1979;PCP;RP;Work#8;
X-3757;15.05.1979;PCP;RP;Work#4;
X-5308;16.05.1979;SRP;RP;Work#8;
X-3824;14.05.1979;SRP;GD;Work#1;
X-1993;25.06.1979;PCP;ID;Work#3;
X-1665;14.05.1979;SRP;RP;Work#8;
X-8003;14.05.1979;SRP;RP;Work#2;
X-4196;13.05.1979;PCP;RP;Work#2;
X-1878;15.05.1979;PCP;RP;Work#6;
X-4344;26.05.1979;PCP;ID;Work#6;
X-9386;13.05.1979;SRP;RP;Work#9;
X-3835;13.05.1979;SRP;RP;Work#2;
X-4065;14.05.1979;PCP;RP;Work#7;
X-3962;12.05.1979;SRP;RP;Work#1;
X-6420;13.05.1979;PCP;RP;Work#2;
X-4602;4.07.1979;PCP;ID;Work#6;
X-1111;13.05.1979;SRP;RP;Work#2;
X-8665;13.05.1979;SRP;RP;Work#2;
X-6212;17.05.1979;PCP;RP;Work#10;
X-8073;13.05.1979;SRP;RP;Work#8;
X-3848;15.05.1979;PCP;RP;Work#7;
X-5751;12.05.1979;PCP;RP;Work#7;
X-955;12.05.1979;SRP;RP;Work#9;
X-9370;12.05.1979;PCP;RP;Work#7;
X-1993;12.05.1979;PCP;RP;Work#6;
X-1987;11.05.1979;SRP;RP;Work#10;
X-520;15.05.1979;SRP;RP;Work#10;
X-10937;4.08.1979;SRP;ID;Work#9;
X-4602;10.05.1979;PCP;RP;Work#8;
X-6420;10.05.1979;PCP;RP;Work#4;
X-1971;10.05.1979;SRP;RP;Work#3;
X-8217;12.05.1979;PCP;ID;Work#4;
X-8665;10.05.1979;SRP;RP;Work#2;
X-4032;12.08.1979;SRP;ID;Work#3;
X-1491;9.05.1979;SRP;RP;Work#5;
X-520;9.05.1979;SRP;RP;Work#5;
X-3848;10.05.1979;PCP;RP;Work#9;
X-5308;12.05.1979;SRP;RP;Work#6;
X-8029;13.05.1979;PCP;ID;Work#4;
X-7111;8.05.1979;SRP;RP;Work#1;
X-3962;8.05.1979;SRP;RP;Work#3;
X-7103;9.05.1979;SRP;RP;Work#4;
X-9386;8.05.1979;SRP;RP;Work#5;
X-5842;8.05.1979;SRP;RP;Work#10;
X-307;10.05.1979;SRP;RP;Work#6;
X-3884;8.05.1979;SRP;RP;Work#7;
X-1971;8.05.1979;SRP;RP;Work#1;
X-10937;9.05.1979;SRP;RP;Work#10;
X-8665;8.05.1979;SRP;RP;Work#4;
X-7229;9.05.1979;SRP;RP;Work#5;
X-4344;10.05.1979;PCP;RP;Work#9;
X-1111;10.05.1979;SRP;RP;Work#6;
X-3835;7.05.1979;SRP;RP;Work#7;
X-9009;9.05.1979;PCP;RP;Work#8;
X-3824;7.05.1979;SRP;RP;Work#6;
X-4032;9.05.1979;PCP;RP;Work#2;
X-7070;8.05.1979;SRP;RP;Work#1;
X-520;7.05.1979;SRP;RP;Work#9;
X-4065;6.05.1979;SRP;RP;Work#7;
X-7046;7.05.1979;SRP;RP;Work#9;
X-8831;6.08.1979;PCP;ID;Work#10;
X-5308;7.05.1979;SRP;RP;Work#5;
X-8073;6.05.1979;SRP;RP;Work#7;
X-955;6.05.1979;SRP;RP;Work#4;
X-7103;6.05.1979;SRP;RP;Work#4;
X-9007;26.05.1979;PCP;ID;Work#4;
X-10937;5.05.1979;SRP;RP;Work#9;
X-1111;5.05.1979;SRP;RP;Work#2;
X-9386;5.05.1979;SRP;RP;Work#1;
X-97;4.05.1979;SRP;RP;Work#2;
X-3824;5.05.1979;SRP;RP;Work#9;
X-3962;5.05.1979;SRP;RP;Work#8;
X-1971;4.05.1979;SRP;RP;Work#2;
X-787;4.05.1979;PCP;RP;Work#10;
X-5842;4.05.1979;SRP;RP;Work#4;
X-6649;5.05.1979;SRP;RP;Work#2;
X-7146;4.05.1979;SRP;RP;Work#2;
X-263;3.05.1979;PCP;RP;Work#1;
X-4344;4.05.1979;PCP;ID;Work#1;
X-7046;4.05.1979;SRP;RP;Work#3;
X-968;4.05.1979;SRP;RP;Work#6;
X-3884;3.05.1979;SRP;RP;Work#10;
X-787;2.05.1979;SRP;RP;Work#9;
X-3862;8.05.1979;PCP;ID;Work#9;
X-10937;2.05.1979;SRP;ID;Work#1;
X-3824;2.05.1979;SRP;RP;Work#4;
X-5065;3.07.1979;PCP;ID;Work#9;
X-4328;3.05.1979;SRP;ID;Work#5;
X-6999;3.05.1979;SRP;RP;Work#7;
X-9007;3.05.1979;PCP;RP;Work#5;
X-5842;1.05.1979;SRP;RP;Work#8;
X-6649;1.05.1979;SRP;RP;Work#9;
X-3318;1.05.1979;PCP;ID;Work#2;
X-7046;1.05.1979;SRP;RP;Work#7;
X-7103;3.05.1979;SRP;RP;Work#6;
X-1971;1.05.1979;SRP;RP;Work#6;
X-10937;30.04.1979;SRP;RP;Work#3;
X-4344;1.05.1979;PCP;RP;Work#3;
X-787;1.05.1979;SRP;ID;Work#5;
X-3884;30.04.1979;SRP;RP;Work#7;
X-3862;30.04.1979;PCP;RP;Work#9;
X-9007;30.04.1979;PCP;RP;Work#1;
X-7474;30.04.1979;SRP;RP;Work#3;
X-7046;29.04.1979;SRP;RP;Work#5;
X-6999;30.04.1979;SRP;ID;Work#4;
X-5065;30.04.1979;PCP;RP;Work#5;
X-3848;29.04.1979;PCP;ID;Work#4;
X-3572;29.04.1979;SRP;RP;Work#7;
X-3318;28.04.1979;PCP;RP;Work#7;
X-5364;29.04.1979;SRP;RP;Work#3;
X-9370;30.04.1979;PCP;RP;Work#5;
X-6649;29.04.1979;SRP;RP;Work#9;
X-1683;30.04.1979;PCP;RP;Work#1;
X-1111;29.04.1979;SRP;RP;Work#4;
X-3431;29.04.1979;SRP;RP;Work#5;
X-4344;28.04.1979;PCP;RP;Work#10;
X-5842;27.04.1979;SRP;RP;Work#1;
X-9655;27.04.1979;SRP;RP;Work#6;
X-787;27.04.1979;SRP;RP;Work#8;
X-6999;27.04.1979;SRP;RP;Work#4;
X-4872;29.04.1979;SRP;RP;Work#9;
X-4604;28.04.1979;PCP;RP;Work#1;
X-790;26.04.1979;SRP;RP;Work#6;
X-5065;26.04.1979;PCP;RP;Work#4;
X-7398;26.04.1979;SRP;RP;Work#3;
X-4065;25.04.1979;SRP;RP;Work#1;
X-4328;25.04.1979;SRP;RP;Work#5;
X-5364;26.04.1979;SRP;RP;Work#4;
X-6772;25.04.1979;PCP;RP;Work#9;
X-9386;25.04.1979;SRP;RP;Work#5;
X-5227;25.04.1979;SRP;RP;Work#4;
X-3394;25.04.1979;SRP;RP;Work#7;
X-7140;28.04.1979;PCP;RP;Work#10;
X-1419;25.04.1979;PCP;ID;Work#3;
X-4872;24.04.1979;SRP;RP;Work#10;
X-5059;25.04.1979;PCP;ID;Work#2;
X-4602;26.04.1979;PCP;RP;Work#10;
X-7103;26.04.1979;SRP;RP;Work#7;
X-2844;27.04.1979;PCP;ID;Work#1;
X-3572;26.04.1979;SRP;RP;Work#8;
X-3824;29.04.1979;SRP;RP;Work#5;
X-5518;25.04.1979;PCP;RP;Work#9;
X-2844;23.04.1979;PCP;RP;Work#10;
X-4122;23.04.1979;SRP;RP;Work#3;
X-5751;23.04.1979;PCP;ID;Work#2;
X-7229;26.04.1979;SRP;RP;Work#1;
X-3318;26.04.1979;PCP;RP;Work#2;
X-8919;23.04.1979;SRP;RP;Work#4;
X-3848;26.04.1979;PCP;RP;Work#8;
X-10937;28.04.1979;SRP;RP;Work#4;
X-528;30.04.1979;PCP;RP;Work#6;
X-6459;22.04.1979;PCP;RP;Work#7;
X-7046;23.04.1979;SRP;RP;Work#10;
X-4872;22.04.1979;SRP;RP;Work#6;
X-7292;24.05.1979;PCP;RP;Work#1;
X-3254;22.04.1979;SRP;RP;Work#6;
X-620;29.04.1979;SRP;RP;Work#2;
X-1111;26.04.1979;SRP;RP;Work#2;
X-6649;26.04.1979;SRP;RP;Work#3;
X-3572;22.04.1979;SRP;RP;Work#8;
X-8073;22.04.1979;SRP;RP;Work#5;
X-7140;22.04.1979;PCP;RP;Work#5;
X-3848;21.04.1979;PCP;RP;Work#6;
X-7930;26.04.1979;SRP;RP;Work#4;
X-396;22.04.1979;PCP;RP;Work#3;
X-9386;21.04.1979;SRP;RP;Work#9;
X-9655;22.04.1979;SRP;RP;Work#6;
X-1419;22.04.1979;PCP;RP;Work#1;
X-3824;22.04.1979;SRP;RP;Work#10;
X-1987;21.04.1979;SRP;RP;Work#2;
X-1751;22.04.1979;PCP;RP;Work#7;
X-7229;21.04.1979;SRP;RP;Work#5;
X-7127;22.04.1979;SRP;RP;Work#10;
X-6133;24.04.1979;PCP;ID;Work#3;
X-1491;21.04.1979;SRP;RP;Work#8;
X-4456;21.04.1979;SRP;RP;Work#5;
X-1111;21.04.1979;SRP;RP;Work#1;
X-9005;27.04.1979;PCP;ID;Work#7;
X-396;19.04.1979;PCP;RP;Work#8;
X-3824;19.04.1979;SRP;RP;Work#4;
X-6133;19.04.1979;PCP;RP;Work#3;
X-7837;7.08.1979;PCP;ID;Work#9;
X-2186;20.04.1979;SRP;RP;Work#1;
X-6649;20.04.1979;SRP;RP;Work#2;
X-3394;19.04.1979;SRP;GD;Work#10;
X-528;21.04.1979;PCP;RP;Work#6;
X-9005;18.04.1979;PCP;RP;Work#6;
X-9655;19.04.1979;SRP;RP;Work#5;
X-4122;19.04.1979;SRP;RP;Work#8;
X-1419;19.04.1979;PCP;RP;Work#1;
X-4424;18.04.1979;PCP;RP;Work#1;
X-790;22.04.1979;SRP;ID;Work#7;
X-9370;18.04.1979;PCP;RP;Work#9;
X-8217;18.04.1979;PCP;RP;Work#1;
X-483;16.04.1979;SRP;RP;Work#8;
X-97;17.04.1979;SRP;RP;Work#2;
X-3318;19.04.1979;PCP;ID;Work#7;
X-4122;16.04.1979;SRP;RP;Work#4;
X-7837;15.04.1979;PCP;RP;Work#4;
X-1683;26.04.1979;PCP;RP;Work#3;
X-4602;20.04.1979;SRP;ID;Work#1;
X-9386;16.04.1979;SRP;RP;Work#9;
X-790;16.04.1979;SRP;RP;Work#5;
X-7879;16.04.1979;SRP;RP;Work#7;
X-528;16.04.1979;PCP;RP;Work#1;
X-5227;16.04.1979;SRP;RP;Work#10;
X-8665;16.04.1979;SRP;RP;Work#7;
X-1111;16.04.1979;SRP;RP;Work#5;
X-7398;14.04.1979;SRP;RP;Work#9;
X-7129;17.04.1979;PCP;RP;Work#2;
X-4872;15.04.1979;SRP;RP;Work#5;
X-955;13.04.1979;SRP;RP;Work#2;
X-3292;19.04.1979;PCP;ID;Work#1;
X-3757;28.04.1979;PCP;ID;Work#3;
X-4122;13.04.1979;SRP;RP;Work#6;
X-1419;15.04.1979;PCP;RP;Work#8;
X-97;14.04.1979;SRP;RP;Work#5;
X-1987;12.04.1979;SRP;RP;Work#4;
X-3983;13.04.1979;PCP;RP;Work#3;
X-1683;13.04.1979;PCP;RP;Work#5;
X-2212;20.04.1979;SRP;RP;Work#2;
X-9312;12.04.1979;SRP;RP;Work#8;
X-3757;11.04.1979;PCP;RP;Work#10;
X-581;12.04.1979;SRP;RP;Work#8;
X-7837;12.04.1979;PCP;RP;Work#6;
X-7229;14.04.1979;SRP;RP;Work#2;
X-3292;11.04.1979;PCP;RP;Work#10;
X-7398;11.04.1979;SRP;RP;Work#8;
X-4196;12.04.1979;PCP;RP;Work#2;
X-955;11.04.1979;SRP;RP;Work#5;
X-10537;10.04.1979;SRP;RP;Work#7;
X-7930;10.04.1979;SRP;RP;Work#4;
X-3983;10.04.1979;PCP;RP;Work#8;
X-3572;11.04.1979;SRP;RP;Work#10;
X-10467;10.04.1979;SRP;RP;Work#5;
X-7229;9.04.1979;SRP;RP;Work#8;
X-955;9.04.1979;SRP;RP;Work#4;
X-7398;9.04.1979;SRP;RP;Work#4;
X-5059;22.04.1979;PCP;RP;Work#6;
X-3525;9.04.1979;PCP;RP;Work#1;
X-581;9.04.1979;SRP;RP;Work#1;
X-7930;8.04.1979;SRP;RP;Work#1;
X-5842;13.04.1979;SRP;RP;Work#9;
X-6999;8.04.1979;SRP;RP;Work#7;
X-4241;7.04.1979;SRP;RP;Work#6;
X-7111;8.04.1979;SRP;RP;Work#6;
X-955;7.04.1979;SRP;RP;Work#5;
X-3394;7.04.1979;SRP;RP;Work#3;
X-3292;9.04.1979;SRP;RP;Work#3;
X-4872;6.04.1979;SRP;RP;Work#6;
X-520;7.04.1979;SRP;RP;Work#10;
X-4602;6.04.1979;PCP;RP;Work#10;
X-7229;6.04.1979;SRP;RP;Work#1;
X-9312;6.04.1979;SRP;GD;Work#10;
X-3848;7.04.1979;PCP;ID;Work#2;
X-1491;6.04.1979;SRP;RP;Work#5;
X-5117;5.04.1979;SRP;RP;Work#4;
X-9142;5.04.1979;SRP;RP;Work#7;
X-4190;6.04.1979;SRP;RP;Work#1;
X-955;5.04.1979;SRP;RP;Work#10;
X-5842;3.04.1979;SRP;GD;Work#8;
X-4480;4.04.1979;SRP;RP;Work#4;
X-520;4.04.1979;SRP;RP;Work#5;
X-7930;4.04.1979;SRP;ID;Work#1;
X-581;4.04.1979;SRP;RP;Work#8;
X-3848;4.04.1979;PCP;RP;Work#9;
X-5117;3.04.1979;SRP;RP;Work#2;
X-9386;4.04.1979;SRP;RP;Work#4;
X-8217;3.04.1979;PCP;RP;Work#5;
X-7474;3.04.1979;SRP;RP;Work#10;
X-6420;3.04.1979;PCP;ID;Work#6;
X-10382;2.04.1979;SRP;RP;Work#6;
X-8280;2.04.1979;PCP;RP;Work#1;
X-528;1.04.1979;PCP;RP;Work#1;
X-4480;1.04.1979;SRP;RP;Work#6;
X-7398;2.04.1979;SRP;RP;Work#10;
X-520;2.04.1979;SRP;RP;Work#8;
X-1878;4.04.1979;PCP;RP;Work#4;
X-5117;1.04.1979;SRP;RP;Work#2;
X-595;1.04.1979;PCP;RP;Work#3;
X-9344;24.04.1979;PCP;ID;Work#4;
X-581;1.04.1979;SRP;RP;Work#9;
X-7930;30.03.1979;SRP;RP;Work#4;
X-7229;1.04.1979;SRP;RP;Work#5;
X-9655;15.04.1979;SRP;ID;Work#1;
X-6420;30.03.1979;PCP;RP;Work#8;
X-696;17.04.1979;PCP;ID;Work#10;
X-1751;18.04.1979;PCP;RP;Work#9;
X-9958;10.04.1979;PCP;ID;Work#9;
X-3962;29.03.1979;SRP;RP;Work#4;
X-581;29.03.1979;SRP;RP;Work#6;
X-9344;29.03.1979;PCP;ID;Work#5;
X-3848;29.03.1979;PCP;RP;Work#3;
X-9516;30.03.1979;PCP;RP;Work#8;
X-1898;9.04.1979;PCP;ID;Work#2;
X-3525;5.04.1979;PCP;RP;Work#6;
X-10467;28.03.1979;SRP;RP;Work#1;
X-1419;29.03.1979;PCP;ID;Work#2;
X-8560;2.04.1979;PCP;ID;Work#5;
X-968;28.03.1979;PCP;RP;Work#6;
X-1751;28.03.1979;PCP;RP;Work#7;
X-3934;14.04.1979;PCP;ID;Work#10;
X-4739;30.03.1979;SRP;RP;Work#8;
X-3757;27.03.1979;PCP;RP;Work#7;
X-263;1.04.1979;PCP;ID;Work#6;
X-3962;27.03.1979;SRP;RP;Work#9;
X-581;27.03.1979;SRP;RP;Work#10;
X-696;28.03.1979;PCP;RP;Work#5;
X-6133;16.04.1979;PCP;ID;Work#9;
X-8003;30.03.1979;SRP;RP;Work#6;
X-4755;27.03.1979;PCP;RP;Work#8;
X-1898;27.03.1979;PCP;RP;Work#9;
X-4456;29.03.1979;SRP;RP;Work#3;
X-520;29.03.1979;SRP;RP;Work#1;
X-8560;26.03.1979;PCP;RP;Work#7;
X-4190;26.03.1979;SRP;RP;Work#5;
X-7720;27.03.1979;SRP;RP;Work#8;
X-1987;27.03.1979;SRP;RP;Work#10;
X-9958;28.03.1979;PCP;RP;Work#2;
X-2692;28.03.1979;SRP;RP;Work#10;
X-10467;26.03.1979;SRP;RP;Work#5;
X-5065;20.04.1979;PCP;ID;Work#5;
X-5995;29.03.1979;PCP;RP;Work#6;
X-9655;26.03.1979;SRP;GD;Work#3;
X-3934;26.03.1979;PCP;ID;Work#10;
X-9516;28.03.1979;PCP;RP;Work#1;
X-4896;26.03.1979;SRP;RP;Work#2;
X-1419;26.03.1979;PCP;RP;Work#8;
X-2212;2.04.1979;SRP;RP;Work#10;
X-5065;25.03.1979;PCP;ID;Work#3;
X-4739;26.03.1979;SRP;RP;Work#6;
X-7879;25.03.1979;SRP;RP;Work#8;
X-3962;25.03.1979;SRP;RP;Work#5;
X-968;26.03.1979;SRP;RP;Work#6;
X-6133;25.03.1979;PCP;RP;Work#9;
X-3978;24.03.1979;SRP;RP;Work#5;
X-5227;3.04.1979;SRP;RP;Work#4;
X-7860;24.03.1979;SRP;RP;Work#5;
X-4872;24.03.1979;SRP;RP;Work#4;
X-1751;24.03.1979;PCP;RP;Work#1;
X-5256;25.03.1979;PCP;RP;Work#1;
X-7146;13.04.1979;PCP;ID;Work#1;
X-3884;24.03.1979;SRP;RP;Work#8;
X-2826;23.03.1979;SRP;RP;Work#1;
X-5518;6.04.1979;PCP;ID;Work#7;
X-2212;23.03.1979;SRP;RP;Work#5;
X-10467;24.03.1979;SRP;RP;Work#3;
X-8665;24.03.1979;SRP;RP;Work#8;
X-4693;24.03.1979;PCP;RP;Work#6;
X-263;22.03.1979;PCP;ID;Work#6;
X-5256;22.03.1979;PCP;RP;Work#3;
X-4739;22.03.1979;SRP;RP;Work#7;
X-3962;22.03.1979;SRP;RP;Work#5;
X-9386;22.03.1979;SRP;RP;Work#4;
X-6133;22.03.1979;PCP;RP;Work#10;
X-968;22.03.1979;SRP;RP;Work#8;
X-7103;21.03.1979;SRP;RP;Work#5;
X-2212;21.03.1979;SRP;RP;Work#2;
X-1419;23.03.1979;PCP;RP;Work#10;
X-2826;21.03.1979;SRP;RP;Work#1;
X-5227;20.03.1979;SRP;GD;Work#9;
X-483;20.03.1979;SRP;RP;Work#1;
X-5518;21.03.1979;PCP;RP;Work#7;
X-8919;20.03.1979;SRP;RP;Work#7;
X-7619;20.03.1979;SRP;RP;Work#5;
X-4739;19.03.1979;SRP;RP;Work#6;
X-3978;21.03.1979;SRP;RP;Work#4;
X-8471;2.04.1979;PCP;ID;Work#1;
X-8280;1.04.1979;PCP;ID;Work#7;
X-3819;27.04.1979;PCP;ID;Work#3;
X-1878;28.03.1979;PCP;ID;Work#3;
X-3980;9.04.1979;PCP;RP;Work#3;
X-3757;18.03.1979;PCP;RP;Work#9;
X-787;18.03.1979;SRP;RP;Work#2;
X-7103;19.03.1979;SRP;RP;Work#2;
X-955;19.03.1979;SRP;RP;Work#1;
X A-4494;17.03.1979;PCP;RP;Work#4;
X-2212;19.03.1979;SRP;RP;Work#10;
X-8471;17.03.1979;PCP;RP;Work#7;
X-3202;17.03.1979;SRP;RP;Work#5;
X-2826;17.03.1979;SRP;RP;Work#1;
X-8280;17.03.1979;PCP;ID;Work#7;
X-10537;18.03.1979;SRP;RP;Work#9;
X-3884;18.03.1979;SRP;RP;Work#1;
X-8217;18.03.1979;PCP;ID;Work#2;
X-3819;17.03.1979;PCP;RP;Work#6;
X-7860;17.03.1979;SRP;RP;Work#8;
X-1491;16.03.1979;SRP;RP;Work#8;
X-3980;16.03.1979;PCP;RP;Work#9;
X-955;15.03.1979;SRP;RP;Work#4;
X-3962;15.03.1979;SRP;RP;Work#9;
X-4739;16.03.1979;SRP;RP;Work#5;
X-391;16.03.1979;PCP;ID;Work#2;
X-5117;16.03.1979;SRP;RP;Work#2;
X-3824;16.04.1979;SRP;ID;Work#5;
X-7879;15.03.1979;SRP;RP;Work#7;
X-9655;14.03.1979;SRP;RP;Work#9;
X-6420;15.03.1979;PCP;RP;Work#5;
X-5065;13.03.1979;PCP;RP;Work#3;
X-9386;15.03.1979;SRP;RP;Work#7;
X-4739;13.03.1979;SRP;RP;Work#2;
X-3980;13.03.1979;PCP;RP;Work#3;
X-5117;13.03.1979;SRP;RP;Work#3;
X-7837;12.03.1979;PCP;RP;Work#7;
X-955;13.03.1979;SRP;RP;Work#4;
X-3824;13.03.1979;SRP;RP;Work#3;
X-9242;13.03.1979;PCP;RP;Work#6;
X-1751;13.03.1979;PCP;RP;Work#5;
X-8217;13.03.1979;PCP;RP;Work#3;
X-5842;14.03.1979;SRP;RP;Work#4;
X-4122;12.03.1979;SRP;RP;Work#2;
X-3572;22.03.1979;SRP;RP;Work#9;
X-8421;12.03.1979;SRP;RP;Work#10;
X-1665;12.03.1979;SRP;RP;Work#4;
X-391;13.03.1979;PCP;RP;Work#9;
X-3824;10.03.1979;SRP;RP;Work#5;
X-8217;10.03.1979;PCP;RP;Work#9;
X-3394;14.03.1979;SRP;RP;Work#3;
X-1971;14.03.1979;SRP;RP;Work#10;
X-9029;10.03.1979;SRP;RP;Work#6;
X-4032;2.05.1979;SRP;ID;Work#1;
X-391;9.03.1979;PCP;RP;Work#5;
X-3394;8.03.1979;SRP;RP;Work#7;
X-7894;10.03.1979;SRP;RP;Work#10;
X-4424;13.04.1979;PCP;RP;Work#1;
X-4739;8.03.1979;SRP;RP;Work#7;
X-696;9.03.1979;PCP;RP;Work#2;
X-5708;9.03.1979;PCP;RP;Work#4;
X-4241;9.03.1979;SRP;RP;Work#1;
X-3824;8.03.1979;SRP;RP;Work#8;
X-1971;8.03.1979;SRP;RP;Work#3;
X-3394;6.03.1979;SRP;RP;Work#1;
X-4693;14.03.1979;PCP;ID;Work#6;
X-396;17.04.1979;PCP;ID;Work#9;
X-8029;25.04.1979;PCP;ID;Work#9;
X-307;1.05.1979;SRP;ID;Work#9;
X-727;9.03.1979;PCP;ID;Work#2;
X-3835;7.03.1979;SRP;RP;Work#4;
X-4032;7.03.1979;SRP;RP;Work#3;
X-3318;7.03.1979;PCP;RP;Work#4;
X-6649;7.03.1979;SRP;RP;Work#9;
X-3716;9.03.1979;SRP;RP;Work#1;
X-581;9.03.1979;SRP;RP;Work#2;
X-4233;9.03.1979;PCP;RP;Work#5;
X-5842;5.03.1979;SRP;GD;Work#2;
X-10272;6.03.1979;SRP;RP;Work#8;
X-5789;4.03.1979;SRP;RP;Work#6;
X-5117;4.03.1979;SRP;RP;Work#5;
X-3835;4.03.1979;SRP;RP;Work#7;
X-3716;4.03.1979;SRP;RP;Work#4;
X-955;4.03.1979;SRP;GD;Work#9;
X-6649;4.03.1979;SRP;RP;Work#5;
X-3572;5.03.1979;SRP;RP;Work#5;
X-4424;6.03.1979;PCP;RP;Work#6;
X-8665;5.03.1979;SRP;RP;Work#10;
X-307;4.03.1979;SRP;RP;Work#8;
X-8488;4.03.1979;SRP;RP;Work#5;
X-581;3.03.1979;SRP;RP;Work#9;
X-6649;2.03.1979;SRP;RP;Work#10;
X-3835;2.03.1979;SRP;RP;Work#7;
X-5842;2.03.1979;SRP;RP;Work#9;
X-3962;3.03.1979;SRP;RP;Work#6;
X-3824;5.03.1979;SRP;RP;Work#9;
X-10467;3.03.1979;SRP;RP;Work#7;
X-3572;2.03.1979;SRP;RP;Work#6;
X-3978;3.03.1979;SRP;RP;Work#2;
X-4872;3.03.1979;SRP;RP;Work#5;
X-3934;3.03.1979;PCP;RP;Work#10;
X-1971;3.03.1979;SRP;ID;Work#6;
X-4424;2.03.1979;PCP;RP;Work#1;
X-263;9.03.1979;PCP;RP;Work#7;
X-6133;6.03.1979;PCP;ID;Work#9;
X-696;2.03.1979;PCP;RP;Work#10;
X-1751;3.03.1979;PCP;RP;Work#8;
X-3394;1.03.1979;SRP;GD;Work#6;
X-3716;2.03.1979;SRP;RP;Work#10;
X-727;4.03.1979;PCP;RP;Work#6;
X-9655;3.03.1979;SRP;GD;Work#8;
X-6133;1.03.1979;PCP;RP;Work#10;
X-5065;1.03.1979;PCP;RP;Work#4;
X-7221;1.03.1979;PCP;RP;Work#3;
X-5117;2.03.1979;SRP;RP;Work#1;
X-7146;22.03.1979;PCP;RP;Work#7;
X-6649;3.03.1979;SRP;RP;Work#10;
X-955;2.03.1979;SRP;RP;Work#9;
X-7930;3.03.1979;SRP;RP;Work#6;
X-3202;2.03.1979;SRP;RP;Work#1;
X-7879;3.03.1979;SRP;RP;Work#10;
X-1491;1.03.1979;SRP;RP;Work#5;
X-1683;10.04.1979;PCP;RP;Work#7;
X-8556;3.03.1979;PCP;RP;Work#7;
X-3835;2.03.1979;SRP;RP;Work#2;
X-4693;4.03.1979;PCP;RP;Work#2;
X-7249;4.03.1979;PCP;RP;Work#2;
X-3572;3.03.1979;SRP;RP;Work#3;
X-7046;1.03.1979;SRP;RP;Work#4;
X-5308;3.03.1979;SRP;RP;Work#4;
X-5842;2.03.1979;SRP;RP;Work#6;
X-1683;27.02.1979;PCP;RP;Work#4;
X-4693;27.02.1979;PCP;RP;Work#8;
X-3394;1.03.1979;SRP;RP;Work#3;
X-2692;1.03.1979;SRP;RP;Work#6;
X-5117;28.02.1979;SRP;RP;Work#4;
X-1878;16.03.1979;PCP;ID;Work#1;
X-6464;4.03.1979;PCP;RP;Work#9;
X-8029;4.03.1979;PCP;RP;Work#9;
X-7046;26.02.1979;SRP;RP;Work#2;
X-2392;1.03.1979;SRP;RP;Work#7;
X-7249;27.02.1979;PCP;RP;Work#9;
X-396;4.03.1979;PCP;RP;Work#4;
X-6933;25.02.1979;SRP;RP;Work#10;
X-3835;25.02.1979;SRP;GD;Work#1;
X-9983;25.02.1979;SRP;RP;Work#8;
X-9386;25.02.1979;SRP;RP;Work#2;
X-5842;25.02.1979;SRP;RP;Work#6;
X-3572;26.02.1979;SRP;RP;Work#7;
X-8421;25.02.1979;SRP;RP;Work#9;
X-6772;18.04.1979;PCP;ID;Work#5;
X-1878;25.02.1979;PCP;RP;Work#10;
X-4693;24.02.1979;PCP;RP;Work#1;
X-8556;26.02.1979;SRP;ID;Work#7;
X-9655;25.02.1979;SRP;RP;Work#3;
X-7249;24.02.1979;PCP;RP;Work#3;
X-1751;24.02.1979;PCP;RP;Work#3;
X-5227;23.02.1979;SRP;RP;Work#9;
X-968;23.02.1979;SRP;RP;Work#10;
X-5842;23.02.1979;SRP;RP;Work#2;
X-3202;24.02.1979;SRP;RP;Work#5;
X-8421;23.02.1979;SRP;RP;Work#7;
X-7046;23.02.1979;SRP;RP;Work#3;
X-5308;26.02.1979;SRP;RP;Work#2;
X-9386;23.02.1979;SRP;RP;Work#2;
X-307;28.02.1979;SRP;ID;Work#1;
X-6999;27.02.1979;SRP;RP;Work#5;
X-1971;2.03.1979;SRP;RP;Work#9;
X-7249;21.02.1979;PCP;RP;Work#6;
X-9655;22.02.1979;SRP;RP;Work#5;
X-7837;22.02.1979;PCP;RP;Work#5;
X-1751;21.02.1979;PCP;RP;Work#3;
X-6772;22.02.1979;PCP;RP;Work#4;
X-4032;21.02.1979;SRP;RP;Work#9;
X-6999;20.02.1979;SRP;RP;Work#7;
X-8290;20.02.1979;SRP;RP;Work#5;
X-7070;21.02.1979;SRP;RP;Work#1;
X-5308;20.02.1979;SRP;RP;Work#10;
X-9983;21.02.1979;SRP;ID;Work#1;
X-4032;19.02.1979;SRP;RP;Work#7;
X-3835;20.02.1979;SRP;RP;Work#8;
X-1971;18.02.1979;SRP;RP;Work#3;
X-8665;18.02.1979;SRP;RP;Work#4;
